record_id,country,year,product,volume_bbl,revenue_usd,site_id,region
RBRA01,Brazil,2024,Petrol,22000,120000,BR101,Southeast
RBRA02,Brazil,2024,Diesel,17000,93000,BR102,Northeast
RBRA03,Brazil,2024,Jet Fuel,6000,42000,BR103,South
RBRA04,Brazil,2024,Petrol,23000,125000,BR104,North
RBRA05,Brazil,2024,Diesel,18000,98000,,Southeast
RBRA06,Brazil,2024,Jet Fuel,6500,47000,BR106,Northeast
RBRA07,Brazil,2024,Petrol,22500,122000,BR107,South
RBRA08,Brazil,2024,Diesel,16000,87000,BR108,North
RBRA09,Brazil,2024,Jet Fuel,7000,48000,BR109,Southeast
RBRA10,Brazil,2024,Petrol,24000,130000,BR110,Northeast
RBRA11,Brazil,2024,Diesel,15000,81000,BR111,South
RBRA12,Brazil,2024,Jet Fuel,6800,45000,BR112,North
RBRA13,Brazil,2024,Petrol,21500,115000,BR113,Southeast
RBRA14,Brazil,2024,Diesel,15500,85000,BR114,Northeast
RBRA15,Brazil,2024,Jet Fuel,7200,49000,BR115,South
RBRA16,Brazil,2024,Petrol,23500,127000,BR116,North
RBRA17,Brazil,2024,Diesel,16000,87000,BR117,Southeast
RBRA18,Brazil,2024,Jet Fuel,6400,43000,BR118,Northeast
RBRA19,Brazil,2024,Petrol,24500,133000,BR119,South
RBRA20,Brazil,2024,Diesel,17000,91000,BR120,North
RBRA21,Brazil,2025,Jet Fuel,7500,51000,BR121,Southeast
RBRA22,Brazil,2025,Petrol,22000,120000,BR122,Northeast
RBRA23,Brazil,2025,Diesel,15500,85000,BR123,South
RBRA24,Brazil,2025,Jet Fuel,6700,46000,,North
RBRA25,Brazil,2025,Petrol,23000,125000,BR125,Southeast
RBRA26,Brazil,2025,Diesel,16000,87000,BR126,Northeast
RBRA27,Brazil,2025,Jet Fuel,6200,41000,BR127,South
RBRA28,Brazil,2025,Petrol,24500,133000,BR128,North
RBRA29,Brazil,2025,Diesel,17000,93000,BR129,Southeast
RBRA30,Brazil,2025,Jet Fuel,6100,40000,BR130,Northeast
RBRA31,Brazil,2025,Petrol,22500,122000,BR131,South
RBRA32,Brazil,2025,Diesel,18000,98000,BR132,North
RBRA33,Brazil,2025,Jet Fuel,7300,50000,BR133,Southeast
RBRA34,Brazil,2025,Petrol,21500,115000,BR134,Northeast
RBRA35,Brazil,2025,Diesel,15000,81000,BR135,South
RBRA36,Brazil,2025,Jet Fuel,7000,48000,BR136,North
RBRA37,Brazil,2025,Petrol,24000,130000,,Southeast
RBRA38,Brazil,2025,Diesel,17000,91000,BR138,Northeast
RBRA39,Brazil,2025,Jet Fuel,6800,45000,BR139,South
RBRA40,Brazil,2025,Petrol,23500,127000,BR140,North
RBRA41,Brazil,2024,Diesel,16000,87000,BR141,Southeast
RBRA42,Brazil,2024,Jet Fuel,6400,43000,BR142,Northeast
RBRA43,Brazil,2024,Petrol,24500,133000,BR143,South
RBRA44,Brazil,2024,Diesel,17000,93000,,North
RBRA45,Brazil,2024,Jet Fuel,6100,40000,BR145,Southeast
RBRA46,Brazil,2024,Petrol,21500,115000,BR146,Northeast
RBRA47,Brazil,2024,Diesel,15000,81000,BR147,South
RBRA48,Brazil,2024,Jet Fuel,7300,50000,BR148,North
RBRA49,Brazil,2024,Petrol,24000,130000,BR149,Southeast
RBRA50,Brazil,2024,Diesel,17000,91000,BR150,Northeast
