record_id,country,year,product,volume_bbl,revenue_usd,site_id,region
RQTR01,Qatar,2024,Petrol,27000,145000,QT101,Doha
RQTR02,Qatar,2024,Diesel,18000,105000,QT102,South
RQTR03,Qatar,2024,Jet Fuel,8000,60000,QT103,North
RQTR04,Qatar,2024,Petrol,26000,138000,QT104,West
RQTR05,Qatar,2024,Diesel,20000,118000,,Doha
RQTR06,Qatar,2024,Jet Fuel,7500,55000,QT106,South
RQTR07,Qatar,2024,Petrol,26500,140000,QT107,North
RQTR08,Qatar,2024,Diesel,21000,123000,QT108,West
RQTR09,Qatar,2024,Jet Fuel,7000,48000,QT109,Doha
RQTR10,Qatar,2024,Petrol,28000,155000,QT110,South
RQTR11,Qatar,2024,Diesel,18500,107000,QT111,North
RQTR12,Qatar,2024,Jet Fuel,7800,56000,QT112,West
RQTR13,Qatar,2024,Petrol,25000,134000,QT113,Doha
RQTR14,Qatar,2024,Diesel,19500,113000,QT114,South
RQTR15,Qatar,2024,Jet Fuel,8200,59000,QT115,North
RQTR16,Qatar,2024,Petrol,27000,145000,QT116,West
RQTR17,Qatar,2024,Diesel,18000,105000,QT117,Doha
RQTR18,Qatar,2024,Jet Fuel,7900,57000,QT118,South
RQTR19,Qatar,2024,Petrol,29000,160000,QT119,North
RQTR20,Qatar,2024,Diesel,21000,123000,QT120,West
RQTR21,Qatar,2025,Jet Fuel,8600,61000,QT121,Doha
RQTR22,Qatar,2025,Petrol,28000,154000,QT122,South
RQTR23,Qatar,2025,Diesel,18500,108000,QT123,North
RQTR24,Qatar,2025,Jet Fuel,7500,55000,,West
RQTR25,Qatar,2025,Petrol,26000,137000,QT125,Doha
RQTR26,Qatar,2025,Diesel,20000,117000,QT126,South
RQTR27,Qatar,2025,Jet Fuel,8000,59000,QT127,North
RQTR28,Qatar,2025,Petrol,26500,142000,QT128,West
RQTR29,Qatar,2025,Diesel,21000,124000,QT129,Doha
RQTR30,Qatar,2025,Jet Fuel,7000,47000,QT130,South
RQTR31,Qatar,2025,Petrol,28500,158000,QT131,North
RQTR32,Qatar,2025,Diesel,19500,112000,QT132,West
RQTR33,Qatar,2025,Jet Fuel,8200,59000,QT133,Doha
RQTR34,Qatar,2025,Petrol,25000,135000,QT134,South
RQTR35,Qatar,2025,Diesel,20000,117000,QT135,North
RQTR36,Qatar,2025,Jet Fuel,8000,59000,QT136,West
RQTR37,Qatar,2025,Petrol,27000,146000,,Doha
RQTR38,Qatar,2025,Diesel,21000,124000,QT138,South
RQTR39,Qatar,2025,Jet Fuel,8600,61000,QT139,North
RQTR40,Qatar,2025,Petrol,29000,162000,QT140,West
RQTR41,Qatar,2024,Diesel,18000,105000,QT141,Doha
RQTR42,Qatar,2024,Jet Fuel,7900,57000,QT142,South
RQTR43,Qatar,2024,Petrol,26500,142000,QT143,North
RQTR44,Qatar,2024,Diesel,20000,117000,,West
RQTR45,Qatar,2024,Jet Fuel,8000,59000,QT145,Doha
RQTR46,Qatar,2024,Petrol,25000,135000,QT146,South
RQTR47,Qatar,2024,Diesel,20000,117000,QT147,North
RQTR48,Qatar,2024,Jet Fuel,8200,59000,QT148,West
RQTR49,Qatar,2024,Petrol,29000,160000,QT149,Doha
RQTR50,Qatar,2024,Diesel,21000,123000,QT150,South
