record_id,country,year,product,volume_bbl,revenue_usd,site_id,region
RUSA01,USA,2024,Petrol,40000,230000,US101,East
RUSA02,USA,2024,Diesel,28000,176000,US102,South
RUSA03,USA,2024,Jet Fuel,12000,86000,US103,West
RUSA04,USA,2024,Petrol,43000,245000,US104,East
RUSA05,USA,2024,Diesel,31000,192000,,South
RUSA06,USA,2024,Jet Fuel,11000,80000,US106,West
RUSA07,USA,2024,Petrol,38000,218000,US107,East
RUSA08,USA,2024,Diesel,25000,158000,US108,South
RUSA09,USA,2024,Jet Fuel,13000,88000,US109,West
RUSA10,USA,2024,Petrol,45000,258000,US110,East
RUSA11,USA,2024,Diesel,32000,199000,US111,South
RUSA12,USA,2024,Jet Fuel,10000,75000,US112,West
RUSA13,USA,2024,Petrol,42000,243000,US113,East
RUSA14,USA,2024,Diesel,29000,181000,US114,South
RUSA15,USA,2024,Jet Fuel,12000,83000,US115,West
RUSA16,USA,2024,Petrol,39000,223000,US116,East
RUSA17,USA,2024,Diesel,31000,191000,US117,South
RUSA18,USA,2024,Jet Fuel,11000,79000,US118,West
RUSA19,USA,2024,Petrol,44000,254000,US119,East
RUSA20,USA,2024,Diesel,33000,201000,US120,South
RUSA21,USA,2025,Jet Fuel,12500,90000,US121,West
RUSA22,USA,2025,Petrol,41000,235000,US122,East
RUSA23,USA,2025,Diesel,29500,185000,US123,South
RUSA24,USA,2025,Jet Fuel,11500,82000,,West
RUSA25,USA,2025,Petrol,43000,247000,US125,East
RUSA26,USA,2025,Diesel,30500,193000,US126,South
RUSA27,USA,2025,Jet Fuel,11000,78000,US127,West
RUSA28,USA,2025,Petrol,42000,242000,US128,East
RUSA29,USA,2025,Diesel,31500,196000,US129,South
RUSA30,USA,2025,Jet Fuel,10500,76000,US130,West
RUSA31,USA,2025,Petrol,43500,251000,US131,East
RUSA32,USA,2025,Diesel,32500,202000,US132,South
RUSA33,USA,2025,Jet Fuel,9500,69000,US133,West
RUSA34,USA,2025,Petrol,41500,236000,US134,East
RUSA35,USA,2025,Diesel,33500,207000,US135,South
RUSA36,USA,2025,Jet Fuel,11200,81000,US136,West
RUSA37,USA,2025,Petrol,42500,245000,,East
RUSA38,USA,2025,Diesel,34000,210000,US138,South
RUSA39,USA,2025,Jet Fuel,11800,85000,US139,West
RUSA40,USA,2025,Petrol,44000,254000,US140,East
RUSA41,USA,2024,Diesel,33000,201000,US141,South
RUSA42,USA,2024,Jet Fuel,13500,89000,US142,West
RUSA43,USA,2024,Petrol,43000,247000,US143,East
RUSA44,USA,2024,Diesel,30500,193000,,South
RUSA45,USA,2024,Jet Fuel,12000,83000,US145,West
RUSA46,USA,2024,Petrol,42000,242000,US146,East
RUSA47,USA,2024,Diesel,31500,196000,US147,South
RUSA48,USA,2024,Jet Fuel,11000,78000,US148,West
RUSA49,USA,2024,Petrol,43500,251000,US149,East
RUSA50,USA,2024,Diesel,32500,202000,US150,South
